id,category,latitude,longitude,heading
0,gps,51.011466,3.708731,0.0
1,gps,51.011401,3.709055,0.0
2,gps,51.011335,3.709215,0.0
0,destination,51.011504,3.708728,0.0
0,camera,51.011453,3.708779,0.0
1,camera,51.011412,3.708822,0.0
2,camera,51.01134,3.708969,0.0
3,camera,51.011485,3.708916,0.0
4,camera,51.011394,3.709079,0.0
0,gps,51.01152112816666,3.708430142,322.2549
1,gps,51.011518864,3.7084294968333333,322.2549
2,gps,51.011518864,3.7084294968333333,322.2549
3,gps,51.011518864,3.7084294968333333,320.9069
4,gps,51.01151518,3.708430019166667,320.9069
5,gps,51.01151518,3.708430019166667,320.9069
6,gps,51.01151518,3.708430019166667,324.1675
7,gps,51.01151062933333,3.7084302838333336,324.1675
8,gps,51.01151062933333,3.7084302838333336,324.1675
9,gps,51.01151062933333,3.7084302838333336,323.9541
10,gps,51.01150600766667,3.7084297866666667,323.9541
11,gps,51.01150600766667,3.7084297866666667,323.9541
12,gps,51.01150600766667,3.7084297866666667,324.4233
13,gps,51.011501228,3.7084300556666667,324.4233
14,gps,51.011501228,3.7084300556666667,324.4233
15,gps,51.011501228,3.7084300556666667,324.7546
16,gps,51.011495825833336,3.7084297696666666,324.7546
17,gps,51.011495825833336,3.7084297696666666,324.7546
18,gps,51.011495825833336,3.7084297696666666,325.0566
19,gps,51.01149011533333,3.7084304038333333,325.0566
20,gps,51.01149011533333,3.7084304038333333,325.0566
21,gps,51.01149011533333,3.7084304038333333,323.2726
22,gps,51.011483417,3.7084321923333334,323.2726
23,gps,51.011483417,3.7084321923333334,323.2726
24,gps,51.011483417,3.7084321923333334,322.5811
25,gps,51.0114779215,3.708432146833333,322.5811
26,gps,51.0114779215,3.708432146833333,322.5811
27,gps,51.0114779215,3.708432146833333,322.4674
28,gps,51.011472472,3.7084320023333333,322.4674
29,gps,51.011472472,3.7084320023333333,322.4674
30,gps,51.011472472,3.7084320023333333,325.5388
31,gps,51.01146714,3.708431336,325.5388
32,gps,51.01146714,3.708431336,325.5388
33,gps,51.01146714,3.708431336,325.9889
34,gps,51.011461270333335,3.7084313783333336,325.9889
35,gps,51.011461270333335,3.7084313783333336,325.9889
36,gps,51.011461270333335,3.7084313783333336,322.9598
37,gps,51.0114562675,3.708430406333333,322.9598
38,gps,51.0114562675,3.708430406333333,322.9598
39,gps,51.0114562675,3.708430406333333,322.5695
40,gps,51.011450887833334,3.708430632833333,322.5695
41,gps,51.011450887833334,3.708430632833333,322.5695
42,gps,51.011450887833334,3.708430632833333,322.0618
43,gps,51.01144578733334,3.7084306616666667,322.0618
44,gps,51.01144578733334,3.7084306616666667,322.0618
45,gps,51.01144578733334,3.7084306616666667,322.4492
46,gps,51.011440555,3.7084305908333333,322.4492
47,gps,51.011440555,3.7084305908333333,322.4492
48,gps,51.011440555,3.7084305908333333,322.0797
49,gps,51.01143513933334,3.7084308615,322.0797
50,gps,51.01143513933334,3.7084308615,322.0797
51,gps,51.01143513933334,3.7084308615,320.8771
52,gps,51.011429822,3.7084304631666667,320.8771
53,gps,51.011429822,3.7084304631666667,320.8771
54,gps,51.011429822,3.7084304631666667,319.7468
55,gps,51.01142394683333,3.7084311935,319.7468
56,gps,51.01142394683333,3.7084311935,319.7468
57,gps,51.01142394683333,3.7084311935,320.2283
58,gps,51.01141864216667,3.7084302825,320.2283
59,gps,51.01141864216667,3.7084302825,320.2283
60,gps,51.01141864216667,3.7084302825,319.3066
61,gps,51.011413158833335,3.7084302183333335,319.3066
62,gps,51.011413158833335,3.7084302183333335,319.3066
63,gps,51.011413158833335,3.7084302183333335,318.0786
64,gps,51.011407606666666,3.7084294385,318.0786
65,gps,51.011407606666666,3.7084294385,318.0786
66,gps,51.011407606666666,3.7084294385,317.9717
67,gps,51.011402776,3.708429258833333,317.9717
68,gps,51.011402776,3.708429258833333,317.9717
69,gps,51.011402776,3.708429258833333,315.3929
70,gps,51.01139692216667,3.708430177,315.3929
71,gps,51.01139692216667,3.708430177,315.3929
72,gps,51.01139692216667,3.708430177,317.0558
73,gps,51.0113917775,3.708430351666667,317.0558
74,gps,51.0113917775,3.708430351666667,317.0558
75,gps,51.0113917775,3.708430351666667,315.7925
76,gps,51.01138610766667,3.7084307873333335,315.7925
77,gps,51.01138610766667,3.7084307873333335,315.7925
78,gps,51.01138610766667,3.7084307873333335,315.8846
79,gps,51.01138033783333,3.7084302438333334,315.8846
