id,category,latitude,longitude,heading
0,gps,51.011466,3.708731,0.0
1,gps,51.011401,3.709055,0.0
2,gps,51.011335,3.709215,0.0
0,destination,51.011504,3.708728,0.0
0,camera,51.011453,3.708779,0.0
1,camera,51.011412,3.708822,0.0
2,camera,51.01134,3.708969,0.0
3,camera,51.011485,3.708916,0.0
4,camera,51.011394,3.709079,0.0
0,gps,51.011596209,3.7085790123333333,275.4434
1,gps,51.01159566216667,3.7085786796666667,275.4434
2,gps,51.01159566216667,3.7085786796666667,275.4434
3,gps,51.01159566216667,3.7085786796666667,276.6009
4,gps,51.011595504166664,3.708578333166667,276.6009
5,gps,51.011595504166664,3.708578333166667,276.6009
6,gps,51.011595504166664,3.708578333166667,279.1388
7,gps,51.01159512216667,3.708578406,279.1388
8,gps,51.01159512216667,3.708578406,279.1388
9,gps,51.01159512216667,3.708578406,275.6923
10,gps,51.01159585316667,3.708577731,275.6923
11,gps,51.01159585316667,3.708577731,275.6923
12,gps,51.01159585316667,3.708577731,272.4186
13,gps,51.01159649216667,3.7085766959999997,272.4186
14,gps,51.01159649216667,3.7085766959999997,272.4186
15,gps,51.01159649216667,3.7085766959999997,269.6628
16,gps,51.011597798333334,3.7085732061666667,269.6628
17,gps,51.011597798333334,3.7085732061666667,269.6628
18,gps,51.011597798333334,3.7085732061666667,269.4572
19,gps,51.01159915383333,3.7085694668333335,269.4572
20,gps,51.01159915383333,3.7085694668333335,269.4572
21,gps,51.01159915383333,3.7085694668333335,268.8371
22,gps,51.011599384,3.7085691153333333,268.8371
23,gps,51.011599384,3.7085691153333333,268.8371
24,gps,51.011599384,3.7085691153333333,268.309
25,gps,51.011599397,3.708568858,268.309
26,gps,51.011599397,3.708568858,268.309
27,gps,51.011599397,3.708568858,265.0126
28,gps,51.01159937316667,3.70856881,265.0126
29,gps,51.01159937316667,3.70856881,265.0126
30,gps,51.01159937316667,3.70856881,262.5681
31,gps,51.0115991615,3.708568103,262.5681
32,gps,51.0115991615,3.708568103,262.5681
33,gps,51.0115991615,3.708568103,262.4232
34,gps,51.011598733666666,3.7085677016666665,262.4232
35,gps,51.011598733666666,3.7085677016666665,262.4232
36,gps,51.011598733666666,3.7085677016666665,264.6589
37,gps,51.0115981685,3.7085676446666667,264.6589
38,gps,51.0115981685,3.7085676446666667,264.6589
39,gps,51.0115981685,3.7085676446666667,267.2866
40,gps,51.011597248,3.7085676961666665,267.2866
41,gps,51.011597248,3.7085676961666665,267.2866
42,gps,51.011597248,3.7085676961666665,265.7267
43,gps,51.011595751,3.7085672426666667,265.7267
44,gps,51.011595751,3.7085672426666667,265.7267
45,gps,51.011595751,3.7085672426666667,264.5956
46,gps,51.0115941525,3.7085671273333336,264.5956
47,gps,51.0115941525,3.7085671273333336,264.5956
48,gps,51.0115941525,3.7085671273333336,262.583
49,gps,51.011593795833335,3.7085682251666667,262.583
50,gps,51.011593795833335,3.7085682251666667,262.583
51,gps,51.011593795833335,3.7085682251666667,262.5355
52,gps,51.011594219833334,3.7085680461666666,262.5355
53,gps,51.011594219833334,3.7085680461666666,262.5355
54,gps,51.011594219833334,3.7085680461666666,263.9679
55,gps,51.01159398116667,3.7085687941666667,263.9679
56,gps,51.01159398116667,3.7085687941666667,263.9679
57,gps,51.01159398116667,3.7085687941666667,265.897
58,gps,51.01159287233333,3.708569853666667,265.897
59,gps,51.01159287233333,3.708569853666667,265.897
60,gps,51.01159287233333,3.708569853666667,269.881
61,gps,51.011590965,3.7085698875,269.881
62,gps,51.011590965,3.7085698875,269.881
63,gps,51.011590965,3.7085698875,274.2541
64,gps,51.01159009883333,3.7085699378333334,274.2541
65,gps,51.01159009883333,3.7085699378333334,274.2541
66,gps,51.01159009883333,3.7085699378333334,275.0173
67,gps,51.0115903395,3.708570083166667,275.0173
68,gps,51.0115903395,3.708570083166667,275.0173
69,gps,51.0115903395,3.708570083166667,272.8485
70,gps,51.01159032766667,3.7085698655,272.8485
71,gps,51.01159032766667,3.7085698655,272.8485
72,gps,51.01159032766667,3.7085698655,269.974
73,gps,51.011590686333335,3.7085697455,269.974
74,gps,51.011590686333335,3.7085697455,269.974
75,gps,51.011590686333335,3.7085697455,269.1331
76,gps,51.01159131666667,3.708569648666667,269.1331
77,gps,51.01159131666667,3.708569648666667,269.1331
78,gps,51.01159131666667,3.708569648666667,264.9596
79,gps,51.011591515166664,3.7085695283333333,264.9596
