timestamp_utc,elapsed_s,camera,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,distance_m,angle_deg
2026-04-03T13:44:45.976Z,1.729,pi:0,duck,0.8832,723.96,520.87,972.86,829.02,0.752,-3.297
2026-04-03T13:44:46.027Z,1.780,pi:0,duck,0.8795,706.73,509.32,945.77,810.85,0.768,-4.018
2026-04-03T13:44:46.080Z,1.836,pi:0,duck,0.8576,698.62,488.97,926.35,778.99,0.799,-4.465
2026-04-03T13:44:46.118Z,1.871,pi:0,duck,0.8613,698.15,485.06,924.15,770.38,0.812,-4.509
2026-04-03T13:44:46.179Z,1.931,pi:0,duck,0.8722,688.47,489.18,912.01,769.55,0.826,-4.863
2026-04-03T13:44:46.234Z,1.986,pi:0,duck,0.8795,687.51,489.97,897.79,767.22,0.836,-5.109
2026-04-03T13:44:46.283Z,2.035,pi:0,duck,0.8905,681.59,483.25,886.37,751.93,0.862,-5.390
2026-04-03T13:44:46.344Z,2.096,pi:0,duck,0.8394,674.88,458.88,875.58,723.22,0.876,-5.673
2026-04-03T13:44:46.395Z,2.148,pi:0,duck,0.8832,677.81,442.98,876.94,704.91,0.884,-5.603
2026-04-03T13:44:46.484Z,2.237,pi:0,duck,0.8467,667.85,408.27,878.48,669.18,0.888,-5.740
2026-04-03T13:44:46.555Z,2.307,pi:0,duck,0.8467,664.98,390.93,866.06,628.16,0.977,-5.987
2026-04-03T13:44:46.607Z,2.360,pi:0,duck,0.8722,666.00,384.12,854.37,617.47,0.993,-6.159
2026-04-03T13:44:46.714Z,2.467,pi:0,duck,0.8467,667.95,386.85,856.22,616.16,1.010,-6.097
2026-04-03T13:44:46.766Z,2.518,pi:0,duck,0.8321,677.94,373.69,850.49,592.06,1.061,-6.029
2026-04-03T13:44:46.825Z,2.578,pi:0,duck,0.8175,685.42,358.48,852.75,574.46,1.073,-5.871
2026-04-03T13:44:46.917Z,2.669,pi:0,duck,0.8102,688.50,345.94,866.04,561.82,1.073,-5.607
2026-04-03T13:44:46.974Z,2.727,pi:0,duck,0.8138,698.26,341.97,868.05,554.85,1.088,-5.416
2026-04-03T13:44:47.029Z,2.781,pi:0,duck,0.8175,699.65,337.46,870.96,552.03,1.080,-5.347
2026-04-03T13:44:47.081Z,2.834,pi:0,duck,0.8029,699.29,336.61,870.01,551.24,1.079,-5.368
2026-04-03T13:44:47.129Z,2.882,pi:0,duck,0.8029,697.99,336.64,868.05,550.43,1.084,-5.421
2026-04-03T13:44:47.163Z,2.915,pi:0,duck,0.8138,694.87,334.30,868.08,547.82,1.085,-5.471
2026-04-03T13:44:47.238Z,2.991,pi:0,duck,0.8066,692.59,328.79,868.09,539.96,1.097,-5.508
2026-04-03T13:44:47.289Z,3.041,pi:0,duck,0.8066,693.96,325.26,869.09,538.93,1.084,-5.469
2026-04-03T13:44:47.340Z,3.092,pi:0,duck,0.8102,689.87,324.77,868.09,538.94,1.082,-5.551
2026-04-03T13:44:47.408Z,3.161,pi:0,duck,0.8138,689.81,324.36,865.05,538.93,1.080,-5.602
2026-04-03T13:44:47.448Z,3.201,pi:0,duck,0.8102,689.84,322.77,864.02,537.92,1.077,-5.618
2026-04-03T13:44:47.515Z,3.267,pi:0,duck,0.8138,690.30,322.26,867.07,534.94,1.089,-5.561
2026-04-03T13:44:47.602Z,3.355,pi:0,duck,0.8175,691.38,321.80,866.07,533.96,1.092,-5.560
2026-04-03T13:44:47.654Z,3.406,pi:0,duck,0.8248,693.64,321.01,869.08,533.01,1.093,-5.474
2026-04-03T13:44:47.746Z,3.499,pi:0,duck,0.8321,695.75,320.33,869.05,531.18,1.099,-5.441
2026-04-03T13:44:47.819Z,3.571,pi:0,duck,0.8138,696.02,321.32,868.07,533.94,1.090,-5.452
2026-04-03T13:44:47.903Z,3.655,pi:0,duck,0.8211,692.18,322.25,867.05,532.08,1.104,-5.531
2026-04-03T13:44:47.998Z,3.751,pi:0,duck,0.8066,690.38,322.98,868.07,533.94,1.098,-5.543
2026-04-03T13:44:48.062Z,3.814,pi:0,duck,0.8102,689.82,323.35,864.01,533.97,1.100,-5.618
2026-04-03T13:44:48.123Z,3.876,pi:0,duck,0.8211,688.17,322.78,861.97,533.03,1.102,-5.678
2026-04-03T13:44:48.207Z,3.960,pi:0,duck,0.8138,686.61,322.45,859.96,531.22,1.110,-5.736
2026-04-03T13:44:48.275Z,4.027,pi:0,duck,0.8248,688.77,322.25,860.96,531.21,1.109,-5.685
2026-04-03T13:44:48.323Z,4.076,pi:0,duck,0.8102,689.21,321.63,860.95,530.32,1.110,-5.678
2026-04-03T13:44:48.381Z,4.134,pi:0,duck,0.8211,688.68,320.57,861.96,528.68,1.113,-5.670
2026-04-03T13:44:48.475Z,4.228,pi:0,duck,0.8138,687.86,319.49,861.96,527.88,1.112,-5.683
2026-04-03T13:44:48.533Z,4.286,pi:0,duck,0.8066,688.81,320.72,869.07,533.03,1.091,-5.553
2026-04-03T13:44:48.581Z,4.333,pi:0,duck,0.7847,691.89,323.40,872.93,542.99,1.055,-5.440
2026-04-03T13:44:48.678Z,4.431,pi:0,duck,0.7810,690.99,324.00,873.81,547.83,1.035,-5.441
2026-04-03T13:44:48.740Z,4.492,pi:0,duck,0.8102,687.93,324.00,882.81,560.55,0.979,-5.345
2026-04-03T13:44:48.799Z,4.552,pi:0,duck,0.8649,668.85,319.38,882.10,565.47,0.941,-5.665
2026-04-03T13:44:48.855Z,4.608,pi:0,duck,0.4781,654.25,317.23,866.54,589.96,0.849,-6.152
2026-04-03T13:44:48.903Z,4.656,pi:0,duck,0.7336,614.92,326.64,844.54,620.28,0.789,-7.140
2026-04-03T13:44:49.002Z,4.755,pi:0,duck,0.8357,592.56,336.59,822.02,643.05,0.756,-7.861
2026-04-03T13:44:49.043Z,4.795,pi:0,duck,0.8795,496.08,381.75,777.69,726.03,0.673,-10.104
2026-04-03T13:44:49.092Z,4.845,pi:0,duck,0.8759,475.89,398.03,768.16,762.33,0.636,-10.573
2026-04-03T13:44:49.176Z,4.928,pi:0,duck,0.8759,428.80,445.95,746.47,835.06,0.595,-11.655
2026-04-03T13:44:49.231Z,4.983,pi:0,duck,0.9275,412.84,493.25,735.78,892.54,0.580,-12.072
2026-04-03T13:44:49.289Z,5.041,pi:0,duck,0.9351,409.29,535.02,744.64,966.70,0.537,-11.989
2026-04-03T13:44:49.352Z,5.104,pi:0,duck,0.9351,412.84,549.91,760.44,977.67,0.542,-11.686
2026-04-03T13:44:49.426Z,5.179,pi:0,duck,0.9351,416.18,552.31,762.94,978.58,0.543,-11.595
2026-04-03T13:44:49.482Z,5.234,pi:0,duck,0.9427,410.95,568.62,767.99,985.79,0.555,-11.597
2026-04-03T13:44:49.566Z,5.319,pi:0,duck,0.9427,412.72,570.24,767.98,985.81,0.557,-11.570
2026-04-03T13:44:49.632Z,5.385,pi:0,duck,0.9389,414.45,570.21,765.48,984.61,0.559,-11.582
2026-04-03T13:44:49.683Z,5.436,pi:0,duck,0.9389,417.49,571.66,765.46,984.61,0.561,-11.535
2026-04-03T13:44:49.784Z,5.537,pi:0,duck,0.9389,417.50,571.69,765.46,984.61,0.561,-11.534
2026-04-03T13:44:49.832Z,5.585,pi:0,duck,0.9351,420.28,571.69,765.47,983.48,0.563,-11.491
2026-04-03T13:44:49.893Z,5.646,pi:0,duck,0.9351,420.40,570.18,762.98,983.47,0.561,-11.528
2026-04-03T13:44:49.976Z,5.728,pi:0,duck,0.9351,418.95,571.69,765.46,984.59,0.561,-11.512
2026-04-03T13:44:50.040Z,5.793,pi:0,duck,0.9503,410.97,570.28,762.95,987.14,0.556,-11.676
2026-04-03T13:44:50.086Z,5.839,pi:0,duck,0.9465,411.00,571.76,762.97,987.13,0.558,-11.675
2026-04-03T13:44:50.171Z,5.924,pi:0,duck,0.9503,410.90,570.32,765.46,987.14,0.556,-11.638
2026-04-03T13:44:50.240Z,5.992,pi:0,duck,0.9427,409.14,570.32,765.46,987.14,0.556,-11.665
2026-04-03T13:44:50.287Z,6.039,pi:0,duck,0.9503,409.09,570.32,762.98,987.14,0.556,-11.705
2026-04-03T13:44:50.367Z,6.120,pi:0,duck,0.9503,409.12,570.36,762.98,987.14,0.556,-11.705
2026-04-03T13:44:50.438Z,6.191,pi:0,duck,0.9541,410.90,570.32,762.98,987.14,0.556,-11.677
2026-04-03T13:44:50.511Z,6.264,pi:0,duck,0.9465,409.13,570.32,765.47,985.84,0.558,-11.666
2026-04-03T13:44:50.597Z,6.350,pi:0,duck,0.9465,410.90,570.32,762.98,987.14,0.556,-11.677
2026-04-03T13:44:50.698Z,6.450,pi:0,duck,0.9541,410.90,570.24,762.98,987.15,0.556,-11.677
2026-04-03T13:44:50.765Z,6.517,pi:0,duck,0.9541,409.14,570.28,762.98,987.15,0.556,-11.704
2026-04-03T13:44:50.816Z,6.569,pi:0,duck,0.9503,409.11,570.36,762.98,987.14,0.556,-11.705
2026-04-03T13:44:50.871Z,6.623,pi:0,duck,0.9503,409.07,570.28,762.98,987.14,0.556,-11.705
2026-04-03T13:44:50.915Z,6.668,pi:0,duck,0.9503,409.09,570.24,762.98,988.52,0.554,-11.705
2026-04-03T13:44:51.008Z,6.761,pi:0,duck,0.9465,409.13,570.24,762.98,987.15,0.556,-11.704
2026-04-03T13:44:51.060Z,6.813,pi:0,duck,0.9465,410.95,568.73,762.95,987.14,0.554,-11.676
2026-04-03T13:44:51.118Z,6.870,pi:0,duck,0.9465,409.16,570.28,765.46,987.14,0.556,-11.665
2026-04-03T13:44:51.228Z,6.981,pi:0,duck,0.9427,411.02,571.72,762.97,987.14,0.558,-11.675
2026-04-03T13:44:51.273Z,7.026,pi:0,duck,0.9503,417.35,559.06,768.00,985.76,0.543,-11.497
2026-04-03T13:44:51.331Z,7.083,pi:0,duck,0.9313,426.34,518.99,782.69,954.08,0.532,-11.125
2026-04-03T13:44:51.411Z,7.163,pi:0,duck,0.9351,428.40,472.33,795.18,914.12,0.524,-10.896
2026-04-03T13:44:51.462Z,7.215,pi:0,duck,0.9427,440.34,422.84,835.15,894.45,0.491,-10.077
2026-04-03T13:44:51.519Z,7.272,pi:0,duck,0.9313,422.80,370.97,830.98,851.25,0.482,-10.420
2026-04-03T13:44:51.629Z,7.382,pi:0,duck,0.9579,424.99,338.08,828.41,837.90,0.463,-10.426
2026-04-03T13:44:51.670Z,7.423,pi:0,duck,0.9579,446.28,249.37,861.50,787.12,0.431,-9.565
2026-04-03T13:44:51.742Z,7.494,pi:0,duck,0.9579,455.07,223.53,880.95,772.15,0.422,-9.116
2026-04-03T13:44:51.836Z,7.589,pi:0,duck,0.9617,461.03,201.73,885.06,734.49,0.435,-8.955
2026-04-03T13:44:51.887Z,7.640,pi:0,duck,0.9655,472.55,198.46,892.43,731.96,0.434,-8.654
2026-04-03T13:44:51.960Z,7.713,pi:0,duck,0.9655,472.56,200.47,896.20,737.11,0.432,-8.594
2026-04-03T13:44:52.033Z,7.785,pi:0,duck,0.9655,470.14,202.42,896.12,739.64,0.431,-8.634
2026-04-03T13:44:52.089Z,7.841,pi:0,duck,0.9617,467.74,205.49,892.91,742.09,0.432,-8.723
2026-04-03T13:44:52.155Z,7.908,pi:0,duck,0.9655,467.75,208.02,891.17,744.47,0.432,-8.751
2026-04-03T13:44:52.240Z,7.992,pi:0,duck,0.9655,467.76,211.47,891.07,746.84,0.433,-8.752
2026-04-03T13:44:52.286Z,8.039,pi:0,duck,0.9655,475.05,226.82,892.76,759.56,0.435,-8.609
2026-04-03T13:44:52.348Z,8.101,pi:0,duck,0.9693,494.61,261.81,895.70,789.46,0.439,-8.249
2026-04-03T13:44:52.387Z,8.140,pi:0,duck,0.9503,503.04,281.91,898.71,825.33,0.426,-8.066
2026-04-03T13:44:52.488Z,8.241,pi:0,duck,0.8401,505.12,369.27,904.63,930.22,0.413,-7.938
2026-04-03T13:44:52.603Z,8.356,pi:0,duck,0.9465,501.20,460.73,881.34,943.51,0.480,-8.374
2026-04-03T13:44:52.651Z,8.403,pi:0,duck,0.9541,480.02,540.03,844.70,1019.99,0.483,-9.295
2026-04-03T13:44:52.719Z,8.472,pi:0,duck,0.9579,474.98,566.40,829.44,1017.50,0.514,-9.618
2026-04-03T13:44:52.787Z,8.540,pi:0,duck,0.9617,470.10,571.24,824.14,1012.54,0.525,-9.779
2026-04-03T13:44:52.883Z,8.635,pi:0,duck,0.9655,470.09,572.66,824.62,1015.01,0.524,-9.772
2026-04-03T13:44:52.936Z,8.689,pi:0,duck,0.9655,467.76,574.58,825.58,1017.49,0.523,-9.794
2026-04-03T13:44:52.988Z,8.740,pi:0,duck,0.9655,467.72,572.68,825.45,1015.00,0.524,-9.796
2026-04-03T13:44:53.038Z,8.791,pi:0,duck,0.9655,465.43,572.69,824.43,1015.01,0.524,-9.849
2026-04-03T13:44:53.100Z,8.852,pi:0,duck,0.9655,467.73,572.66,824.40,1015.01,0.524,-9.813
2026-04-03T13:44:53.143Z,8.896,pi:0,duck,0.9655,467.72,572.66,822.62,1015.01,0.524,-9.841
2026-04-03T13:44:53.202Z,8.955,pi:0,duck,0.9655,465.42,572.66,822.04,1015.01,0.524,-9.887
2026-04-03T13:44:53.254Z,9.007,pi:0,duck,0.9655,465.46,574.58,825.59,1017.49,0.523,-9.830
2026-04-03T13:44:53.310Z,9.063,pi:0,duck,0.9655,467.76,574.53,826.24,1017.49,0.523,-9.783
2026-04-03T13:44:53.370Z,9.123,pi:0,duck,0.9655,467.76,573.24,825.21,1017.49,0.521,-9.800
2026-04-03T13:44:53.442Z,9.195,pi:0,duck,0.9655,467.75,572.69,820.63,1015.01,0.524,-9.872
2026-04-03T13:44:53.487Z,9.240,pi:0,duck,0.9655,470.10,572.67,822.30,1017.49,0.521,-9.809
2026-04-03T13:44:53.571Z,9.324,pi:0,duck,0.9655,470.10,572.70,822.59,1017.49,0.521,-9.804
2026-04-03T13:44:53.646Z,9.399,pi:0,duck,0.9655,470.09,572.70,821.87,1015.01,0.524,-9.816
2026-04-03T13:44:53.699Z,9.452,pi:0,duck,0.9655,470.12,572.69,820.99,1015.01,0.524,-9.829
2026-04-03T13:44:53.756Z,9.508,pi:0,duck,0.9655,470.12,574.01,821.46,1015.01,0.525,-9.822
2026-04-03T13:44:53.844Z,9.596,pi:0,duck,0.9655,470.13,575.89,823.94,1015.01,0.528,-9.782
2026-04-03T13:44:53.886Z,9.638,pi:0,duck,0.9655,470.11,572.70,819.59,1015.01,0.524,-9.851
2026-04-03T13:44:53.929Z,9.682,pi:0,duck,0.9655,470.11,572.70,819.62,1017.50,0.521,-9.851
2026-04-03T13:44:54.032Z,9.785,pi:0,duck,0.9655,470.12,573.98,819.62,1015.01,0.525,-9.851
2026-04-03T13:44:54.091Z,9.843,pi:0,duck,0.9655,470.12,574.01,819.62,1017.50,0.522,-9.851
2026-04-03T13:44:54.143Z,9.895,pi:0,duck,0.9655,470.11,572.69,818.82,1015.01,0.524,-9.864
2026-04-03T13:44:54.187Z,9.939,pi:0,duck,0.9655,472.53,572.70,820.59,1017.49,0.521,-9.797
2026-04-03T13:44:54.242Z,9.995,pi:0,duck,0.9655,470.11,571.28,821.03,1015.01,0.522,-9.829
2026-04-03T13:44:54.295Z,10.047,pi:0,duck,0.9655,472.53,571.31,820.60,1017.50,0.519,-9.797
2026-04-03T13:44:54.351Z,10.104,pi:0,duck,0.9655,470.11,571.29,821.00,1017.49,0.519,-9.829
2026-04-03T13:44:54.394Z,10.147,pi:0,duck,0.9655,470.11,572.69,821.03,1015.01,0.524,-9.829
2026-04-03T13:44:54.443Z,10.195,pi:0,duck,0.9655,470.10,572.59,821.47,1017.49,0.521,-9.822
2026-04-03T13:44:54.491Z,10.244,pi:0,duck,0.9655,470.10,573.82,822.43,1017.49,0.522,-9.807
2026-04-03T13:44:54.583Z,10.336,pi:0,duck,0.9655,470.11,573.97,824.89,1017.49,0.522,-9.767
2026-04-03T13:44:54.658Z,10.411,pi:0,duck,0.9655,472.53,571.25,823.54,1017.49,0.519,-9.750
2026-04-03T13:44:54.708Z,10.460,pi:0,duck,0.9655,472.53,572.66,822.59,1017.49,0.521,-9.765
2026-04-03T13:44:54.772Z,10.525,pi:0,duck,0.9655,470.11,572.68,823.52,1017.50,0.521,-9.789
2026-04-03T13:44:54.867Z,10.620,pi:0,duck,0.9655,470.11,572.68,823.18,1017.49,0.521,-9.795
2026-04-03T13:44:54.912Z,10.665,pi:0,duck,0.9655,472.53,571.30,822.89,1015.01,0.522,-9.761
2026-04-03T13:44:54.988Z,10.740,pi:0,duck,0.9655,470.12,569.81,822.60,1015.01,0.520,-9.804
2026-04-03T13:44:55.075Z,10.827,pi:0,duck,0.9655,472.54,569.82,822.25,1017.50,0.517,-9.771
2026-04-03T13:44:55.126Z,10.879,pi:0,duck,0.9655,472.54,569.83,821.49,1017.50,0.517,-9.783
2026-04-03T13:44:55.183Z,10.935,pi:0,duck,0.9655,472.54,568.26,821.02,1017.50,0.516,-9.790
2026-04-03T13:44:55.225Z,10.978,pi:0,duck,0.9655,470.12,568.28,821.89,1017.49,0.516,-9.815
2026-04-03T13:44:55.297Z,11.050,pi:0,duck,0.9655,472.53,569.85,821.72,1015.01,0.520,-9.779
2026-04-03T13:44:55.383Z,11.135,pi:0,duck,0.9655,470.13,571.73,823.53,1017.49,0.520,-9.789
2026-04-03T13:44:55.427Z,11.179,pi:0,duck,0.9655,472.54,569.86,820.16,1015.01,0.520,-9.804
2026-04-03T13:44:55.474Z,11.227,pi:0,duck,0.9655,472.54,569.86,820.62,1017.49,0.518,-9.797
2026-04-03T13:44:55.543Z,11.296,pi:0,duck,0.9655,472.54,569.85,821.49,1015.01,0.520,-9.783
2026-04-03T13:44:55.639Z,11.391,pi:0,duck,0.9655,472.53,568.27,821.52,1015.01,0.519,-9.782
2026-04-03T13:44:55.685Z,11.438,pi:0,duck,0.9655,470.12,568.27,819.99,1012.55,0.521,-9.845
