timestamp_utc,elapsed_s,camera,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,distance_m,angle_deg
2026-04-03T15:06:52.027Z,1.570,pi:0,sports ball,0.3526,844.84,386.61,1006.99,563.38,2.329,-0.770
2026-04-03T15:06:52.126Z,1.669,pi:0,sports ball,0.5361,844.85,386.83,1007.50,563.40,2.332,-0.761
2026-04-03T15:06:52.166Z,1.709,pi:0,sports ball,0.5361,845.30,387.34,1008.64,563.39,2.339,-0.735
2026-04-03T15:06:52.223Z,1.767,pi:0,sports ball,0.6153,844.41,387.58,1008.13,562.83,2.349,-0.758
2026-04-03T15:06:52.276Z,1.819,pi:0,sports ball,0.5757,844.89,388.06,1006.98,563.43,2.348,-0.769
2026-04-03T15:06:52.304Z,1.847,pi:0,sports ball,0.5361,844.84,387.16,1008.80,562.82,2.344,-0.740
2026-04-03T15:06:52.333Z,1.876,pi:0,sports ball,0.6693,844.89,388.84,1006.36,563.41,2.358,-0.779
2026-04-03T15:06:52.402Z,1.945,pi:0,sports ball,0.6909,845.81,388.10,1006.36,563.42,2.348,-0.764
2026-04-03T15:06:52.464Z,2.007,pi:0,sports ball,0.6549,845.36,387.76,1006.38,563.99,2.336,-0.771
2026-04-03T15:06:52.527Z,2.070,pi:0,sports ball,0.6945,845.35,388.43,1006.38,563.40,2.353,-0.771
2026-04-03T15:06:52.604Z,2.147,pi:0,sports ball,0.5937,844.91,388.03,1006.97,563.42,2.347,-0.769
2026-04-03T15:06:52.668Z,2.211,pi:0,sports ball,0.6189,844.90,387.95,1008.70,562.82,2.354,-0.741
2026-04-03T15:06:52.722Z,2.265,pi:0,sports ball,0.6837,844.39,386.77,1007.61,562.83,2.339,-0.767
2026-04-03T15:06:52.799Z,2.342,pi:0,sports ball,0.5649,845.82,387.81,1008.14,562.82,2.353,-0.735
2026-04-03T15:06:52.873Z,2.416,pi:0,sports ball,0.6909,844.42,387.16,1008.12,562.84,2.344,-0.758
2026-04-03T15:06:52.924Z,2.467,pi:0,sports ball,0.5469,845.38,386.80,1007.56,563.39,2.331,-0.752
