timestamp_utc,elapsed_s,camera,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,distance_m,angle_deg
2026-04-03T14:50:29.122Z,1.509,pi:0,sports ball,0.8813,843.92,386.96,1004.87,562.76,2.342,-0.819
2026-04-03T14:50:29.177Z,1.564,pi:0,sports ball,0.8889,845.01,386.09,1003.85,563.39,2.322,-0.818
2026-04-03T14:50:29.217Z,1.604,pi:0,sports ball,0.8776,844.64,386.98,1002.84,562.86,2.341,-0.841
2026-04-03T14:50:29.282Z,1.669,pi:0,sports ball,0.7792,844.64,388.80,984.69,562.86,2.365,-1.137
2026-04-03T14:50:29.345Z,1.732,pi:0,sports ball,0.6998,845.32,387.87,968.11,563.05,2.350,-1.397
2026-04-03T14:50:31.348Z,3.735,pi:0,sports ball,0.6733,1165.82,365.87,1318.34,553.27,2.197,9.470
2026-04-03T14:50:31.424Z,3.811,pi:0,sports ball,0.8851,1161.84,365.90,1318.12,553.14,2.199,9.403
2026-04-03T14:50:31.493Z,3.880,pi:0,sports ball,0.9267,1144.79,366.87,1317.84,551.65,2.228,9.127
2026-04-03T14:50:31.564Z,3.951,pi:0,sports ball,0.9305,1142.95,366.51,1318.25,551.63,2.224,9.104
2026-04-03T14:50:31.628Z,4.015,pi:0,sports ball,0.9267,1142.95,366.46,1318.47,551.68,2.223,9.108
2026-04-03T14:50:31.698Z,4.085,pi:0,sports ball,0.9305,1142.94,366.44,1318.01,550.81,2.233,9.100
2026-04-03T14:50:31.771Z,4.158,pi:0,sports ball,0.9419,1142.05,366.47,1317.77,551.63,2.224,9.082
2026-04-03T14:50:31.833Z,4.220,pi:0,sports ball,0.9456,1142.09,366.88,1317.94,550.77,2.239,9.086
2026-04-03T14:50:31.910Z,4.297,pi:0,sports ball,0.9305,1142.95,366.88,1317.77,551.63,2.228,9.097
2026-04-03T14:50:31.978Z,4.365,pi:0,sports ball,0.9381,1142.08,366.90,1317.77,551.60,2.229,9.083
2026-04-03T14:50:32.041Z,4.428,pi:0,sports ball,0.9494,1142.07,366.43,1317.92,551.60,2.223,9.085
2026-04-03T14:50:32.116Z,4.503,pi:0,sports ball,0.9343,1142.07,366.42,1317.94,551.61,2.223,9.085
2026-04-03T14:50:32.180Z,4.567,pi:0,sports ball,0.9456,1142.06,366.92,1317.77,551.60,2.229,9.082
2026-04-03T14:50:32.250Z,4.637,pi:0,sports ball,0.9532,1142.08,365.55,1318.20,551.65,2.212,9.090
2026-04-03T14:50:32.320Z,4.707,pi:0,sports ball,0.9381,1142.04,366.00,1318.01,551.63,2.218,9.086
2026-04-03T14:50:32.385Z,4.772,pi:0,sports ball,0.9267,1143.87,366.75,1318.02,550.80,2.237,9.115
2026-04-03T14:50:32.457Z,4.844,pi:0,sports ball,0.9419,1142.07,366.44,1317.18,550.79,2.233,9.073
2026-04-03T14:50:32.457Z,4.844,pi:0,sports ball,0.5636,1576.74,428.74,1638.45,487.11,7.055,20.564
2026-04-03T14:50:32.522Z,4.909,pi:0,sports ball,0.9381,1142.05,366.44,1317.75,551.61,2.223,9.082
2026-04-03T14:50:32.522Z,4.909,pi:0,sports ball,0.5371,1576.74,434.88,1638.42,486.10,8.038,20.563
2026-04-03T14:50:32.593Z,4.980,pi:0,sports ball,0.9305,1142.06,366.01,1317.51,550.79,2.228,9.078
2026-04-03T14:50:32.667Z,5.054,pi:0,sports ball,0.9267,1142.98,366.47,1317.51,550.78,2.234,9.093
2026-04-03T14:50:32.733Z,5.120,pi:0,sports ball,0.9229,1142.08,366.00,1317.59,550.77,2.228,9.080
2026-04-03T14:50:32.807Z,5.194,pi:0,sports ball,0.9229,1143.88,366.49,1317.59,549.93,2.244,9.109
2026-04-03T14:50:32.877Z,5.263,pi:0,sports ball,0.9343,1142.08,366.03,1318.08,551.60,2.219,9.088
2026-04-03T14:50:32.946Z,5.333,pi:0,sports ball,0.9343,1142.96,365.51,1317.51,550.77,2.222,9.093
2026-04-03T14:50:33.007Z,5.394,pi:0,sports ball,0.9229,1143.90,366.37,1318.43,551.55,2.223,9.122
2026-04-03T14:50:33.081Z,5.468,pi:0,sports ball,0.9305,1143.89,366.37,1318.15,551.55,2.223,9.118
2026-04-03T14:50:33.144Z,5.531,pi:0,sports ball,0.9305,1143.88,366.37,1318.07,552.34,2.214,9.116
2026-04-03T14:50:33.212Z,5.599,pi:0,sports ball,0.9305,1143.90,367.20,1318.11,552.33,2.224,9.117
2026-04-03T14:50:33.281Z,5.668,pi:0,sports ball,0.9343,1142.98,366.44,1318.09,551.61,2.223,9.102
2026-04-03T14:50:33.347Z,5.734,pi:0,sports ball,0.9267,1142.96,366.43,1317.95,551.61,2.223,9.100
2026-04-03T14:50:33.422Z,5.809,pi:0,sports ball,0.9305,1143.89,366.86,1318.09,551.60,2.229,9.117
2026-04-03T14:50:33.492Z,5.879,pi:0,sports ball,0.9305,1142.97,365.97,1317.85,551.59,2.218,9.098
2026-04-03T14:50:33.560Z,5.947,pi:0,sports ball,0.9267,1143.90,366.77,1317.94,552.33,2.219,9.114
