timestamp_utc,elapsed_s,camera,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,distance_m,angle_deg
2026-04-03T14:19:14.765Z,5.086,pi:0,sports ball,0.4251,457.31,317.89,734.11,609.24,1.416,-11.402
2026-04-03T14:19:14.893Z,5.214,pi:0,sports ball,0.4651,478.26,318.94,747.69,600.75,1.464,-10.859
2026-04-03T14:19:14.932Z,5.252,pi:0,sports ball,0.4433,503.74,316.13,771.75,594.81,1.480,-10.077
2026-04-03T14:19:15.049Z,5.369,pi:0,sports ball,0.3379,528.24,307.68,797.66,589.41,1.464,-9.277
2026-04-03T14:19:15.091Z,5.411,pi:0,sports ball,0.5523,564.60,301.13,821.95,585.76,1.449,-8.309
2026-04-03T14:19:15.156Z,5.476,pi:0,sports ball,0.3561,569.85,299.95,826.23,583.44,1.455,-8.157
2026-04-03T14:19:15.239Z,5.559,pi:0,sports ball,0.4542,580.22,298.75,832.33,580.23,1.465,-7.893
2026-04-03T14:19:15.319Z,5.640,pi:0,sports ball,0.3851,583.56,296.44,840.18,575.01,1.481,-7.714
2026-04-03T14:19:15.370Z,5.690,pi:0,sports ball,0.2834,587.39,296.30,845.69,571.48,1.499,-7.564
2026-04-03T14:19:15.455Z,5.775,pi:0,sports ball,0.3125,589.30,293.04,847.97,575.03,1.463,-7.497
2026-04-03T14:19:15.543Z,5.863,pi:0,sports ball,0.2870,588.78,296.10,850.44,580.91,1.448,-7.466
2026-04-03T14:19:15.581Z,5.902,pi:0,sports ball,0.3270,590.84,293.06,849.63,573.83,1.469,-7.445
2026-04-03T14:19:15.653Z,5.974,pi:0,sports ball,0.4069,592.90,294.20,851.45,572.26,1.483,-7.383
2026-04-03T14:19:15.689Z,6.009,pi:0,sports ball,0.3960,593.77,296.33,854.13,575.91,1.475,-7.326
2026-04-03T14:19:15.804Z,6.125,pi:0,sports ball,0.3851,596.67,295.29,853.28,574.32,1.478,-7.293
2026-04-03T14:19:15.874Z,6.194,pi:0,sports ball,0.4251,599.89,295.29,855.40,576.57,1.466,-7.207
2026-04-03T14:19:15.907Z,6.227,pi:0,sports ball,0.4978,601.86,298.65,857.35,581.73,1.457,-7.144
2026-04-03T14:19:16.021Z,6.342,pi:0,sports ball,0.4796,602.22,298.71,856.26,580.88,1.462,-7.156
2026-04-03T14:19:16.067Z,6.387,pi:0,sports ball,0.4033,601.89,301.07,856.33,579.08,1.484,-7.160
2026-04-03T14:19:16.120Z,6.441,pi:0,sports ball,0.4433,598.61,302.09,854.28,578.68,1.491,-7.246
2026-04-03T14:19:16.207Z,6.528,pi:0,sports ball,0.5305,595.79,303.33,851.32,573.96,1.524,-7.339
2026-04-03T14:19:16.267Z,6.587,pi:0,sports ball,0.4978,595.23,303.31,850.33,575.52,1.515,-7.364
2026-04-03T14:19:16.330Z,6.650,pi:0,sports ball,0.3960,592.18,301.02,848.52,574.73,1.507,-7.442
2026-04-03T14:19:16.424Z,6.745,pi:0,sports ball,0.4941,590.65,297.61,845.08,574.55,1.490,-7.521
2026-04-03T14:19:16.505Z,6.826,pi:0,sports ball,0.5050,590.84,298.75,846.64,573.07,1.504,-7.493
2026-04-03T14:19:16.543Z,6.864,pi:0,sports ball,0.5087,589.90,298.75,843.96,574.46,1.496,-7.551
2026-04-03T14:19:16.634Z,6.955,pi:0,sports ball,0.5196,591.55,299.90,846.44,573.70,1.507,-7.485
2026-04-03T14:19:16.708Z,7.029,pi:0,sports ball,0.4869,590.83,298.74,845.19,573.82,1.500,-7.517
2026-04-03T14:19:16.819Z,7.139,pi:0,sports ball,0.5087,590.08,298.76,846.20,574.67,1.495,-7.513
2026-04-03T14:19:16.860Z,7.181,pi:0,sports ball,0.4360,588.30,298.70,843.80,575.39,1.491,-7.580
2026-04-03T14:19:16.891Z,7.211,pi:0,sports ball,0.5268,590.07,298.74,845.94,574.68,1.495,-7.517
2026-04-03T14:19:16.933Z,7.253,pi:0,sports ball,0.4287,590.07,296.43,847.21,573.82,1.487,-7.497
2026-04-03T14:19:16.992Z,7.313,pi:0,sports ball,0.3997,590.79,296.41,848.53,574.68,1.482,-7.464
2026-04-03T14:19:17.043Z,7.364,pi:0,sports ball,0.4832,590.79,296.42,848.81,575.34,1.479,-7.459
2026-04-03T14:19:17.128Z,7.449,pi:0,sports ball,0.4760,589.50,296.41,851.24,576.38,1.473,-7.441
2026-04-03T14:19:17.206Z,7.527,pi:0,sports ball,0.4542,590.25,296.46,853.09,575.40,1.479,-7.399
2026-04-03T14:19:17.259Z,7.580,pi:0,sports ball,0.5268,592.81,297.51,852.34,573.90,1.492,-7.370
2026-04-03T14:19:17.365Z,7.686,pi:0,sports ball,0.5268,592.83,297.58,850.72,572.42,1.501,-7.396
2026-04-03T14:19:17.423Z,7.744,pi:0,sports ball,0.4869,591.12,298.67,853.25,574.87,1.493,-7.383
2026-04-03T14:19:17.480Z,7.801,pi:0,sports ball,0.4324,592.84,298.65,850.68,575.59,1.489,-7.396
2026-04-03T14:19:17.603Z,7.923,pi:0,sports ball,0.5050,592.19,298.69,850.67,575.67,1.489,-7.407
2026-04-03T14:19:17.697Z,8.018,pi:0,sports ball,0.5813,592.85,299.91,848.76,574.67,1.501,-7.427
2026-04-03T14:19:17.788Z,8.109,pi:0,sports ball,0.4687,592.90,302.19,848.75,581.46,1.477,-7.426
2026-04-03T14:19:17.863Z,8.183,pi:0,sports ball,0.4578,590.38,307.65,846.07,588.33,1.470,-7.510
2026-04-03T14:19:17.926Z,8.247,pi:0,sports ball,0.5123,592.18,308.70,842.45,582.47,1.507,-7.539
2026-04-03T14:19:17.988Z,8.309,pi:0,sports ball,0.7194,590.59,306.68,837.68,580.14,1.508,-7.641
2026-04-03T14:19:18.022Z,8.343,pi:0,sports ball,0.6068,589.80,306.62,830.41,580.18,1.508,-7.770
