id,category,latitude,longitude,heading
0,destination,51.044674,3.681999,0.0
0,gps,51.0453017095,3.6827949895,162.7643
1,gps,51.045301540833336,3.6827950853333333,162.7643
2,gps,51.045301540833336,3.6827950853333333,162.7643
3,gps,51.045301540833336,3.6827950853333333,162.5939
4,gps,51.045301307833334,3.682795266,162.5939
5,gps,51.045301307833334,3.682795266,162.5939
6,gps,51.045301307833334,3.682795266,162.5014
7,gps,51.0453010885,3.682795308,162.5014
8,gps,51.0453010885,3.682795308,162.5014
9,gps,51.0453010885,3.682795308,162.0613
10,gps,51.04530093583333,3.682795312,162.0613
11,gps,51.04530093583333,3.682795312,162.0613
12,gps,51.04530093583333,3.682795312,161.5465
13,gps,51.04530080033334,3.682795389333333,161.5465
14,gps,51.04530080033334,3.682795389333333,161.5465
15,gps,51.04530080033334,3.682795389333333,161.267
16,gps,51.04530063033334,3.682795466,161.267
17,gps,51.04530063033334,3.682795466,161.267
18,gps,51.04530063033334,3.682795466,161.1237
19,gps,51.04530052766667,3.6827960356666667,161.1237
20,gps,51.04530052766667,3.6827960356666667,161.1237
21,gps,51.04530052766667,3.6827960356666667,161.254
22,gps,51.04530029233333,3.6827961356666665,161.254
23,gps,51.04530029233333,3.6827961356666665,161.254
24,gps,51.04530029233333,3.6827961356666665,161.4369
25,gps,51.0453000055,3.6827963925000002,161.4369
26,gps,51.0453000055,3.6827963925000002,161.4369
27,gps,51.0453000055,3.6827963925000002,161.7428
28,gps,51.04529985883333,3.682796559333333,161.7428
29,gps,51.04529985883333,3.682796559333333,161.7428
30,gps,51.04529985883333,3.682796559333333,162.3974
31,gps,51.04529969116667,3.6827967326666666,162.3974
32,gps,51.04529969116667,3.6827967326666666,162.3974
33,gps,51.04529969116667,3.6827967326666666,163.0423
34,gps,51.04529950366667,3.6827968576666668,163.0423
35,gps,51.04529950366667,3.6827968576666668,163.0423
36,gps,51.04529950366667,3.6827968576666668,163.4269
37,gps,51.04529925766667,3.6827970761666666,163.4269
38,gps,51.04529925766667,3.6827970761666666,163.4269
39,gps,51.04529925766667,3.6827970761666666,164.0063
40,gps,51.045299148,3.682797273833333,164.0063
41,gps,51.045299148,3.682797273833333,164.0063
42,gps,51.045299148,3.682797273833333,164.7525
43,gps,51.04529920583333,3.6827972328333334,164.7525
44,gps,51.04529920583333,3.6827972328333334,164.7525
45,gps,51.04529920583333,3.6827972328333334,164.9416
46,gps,51.04529919066667,3.682797629,164.9416
47,gps,51.04529919066667,3.682797629,164.9416
48,gps,51.04529919066667,3.682797629,167.0838
49,gps,51.04529888383333,3.6827981983333333,167.0838
50,gps,51.04529888383333,3.6827981983333333,167.0838
51,gps,51.04529888383333,3.6827981983333333,170.6877
52,gps,51.045298594,3.682798223833333,170.6877
53,gps,51.045298594,3.682798223833333,170.6877
54,gps,51.045298594,3.682798223833333,172.502
55,gps,51.045298419666665,3.6827986501666667,172.502
56,gps,51.045298419666665,3.6827986501666667,172.502
57,gps,51.045298419666665,3.6827986501666667,175.9454
58,gps,51.04529813766667,3.682799365666667,175.9454
59,gps,51.04529813766667,3.682799365666667,175.9454
60,gps,51.04529813766667,3.682799365666667,181.0809
61,gps,51.045297748,3.6828001216666664,181.0809
62,gps,51.045297748,3.6828001216666664,181.0809
63,gps,51.045297748,3.6828001216666664,185.9361
64,gps,51.0452972535,3.6828005548333334,185.9361
65,gps,51.0452972535,3.6828005548333334,185.9361
66,gps,51.0452972535,3.6828005548333334,189.9152
67,gps,51.045295484166665,3.6828001656666665,189.9152
68,gps,51.045295484166665,3.6828001656666665,189.9152
69,gps,51.045295484166665,3.6828001656666665,192.9671
70,gps,51.04529362233333,3.6827993781666666,192.9671
71,gps,51.04529362233333,3.6827993781666666,192.9671
72,gps,51.04529362233333,3.6827993781666666,194.891
73,gps,51.045291713333334,3.6827986496666667,194.891
74,gps,51.045291713333334,3.6827986496666667,194.891
75,gps,51.045291713333334,3.6827986496666667,196.5559
76,gps,51.045289886666666,3.682797797666667,196.5559
77,gps,51.045289886666666,3.682797797666667,196.5559
78,gps,51.045289886666666,3.682797797666667,197.8751
79,gps,51.045288183833335,3.682796869833333,197.8751
80,gps,51.045288183833335,3.682796869833333,197.8751
81,gps,51.045288183833335,3.682796869833333,199.0129
82,gps,51.0452865195,3.682796028333333,199.0129
83,gps,51.0452865195,3.682796028333333,199.0129
84,gps,51.0452865195,3.682796028333333,199.9195
85,gps,51.045284718,3.6827950628333332,199.9195
86,gps,51.045284718,3.6827950628333332,199.9195
87,gps,51.045284718,3.6827950628333332,200.6766
88,gps,51.0452829135,3.682794058833333,200.6766
89,gps,51.0452829135,3.682794058833333,200.6766
90,gps,51.0452829135,3.682794058833333,201.3632
91,gps,51.04528112766667,3.6827930023333333,201.3632
92,gps,51.04528112766667,3.6827930023333333,201.3632
93,gps,51.04528112766667,3.6827930023333333,201.9196
94,gps,51.04527941116667,3.6827920196666666,201.9196
95,gps,51.04527941116667,3.6827920196666666,201.9196
96,gps,51.04527941116667,3.6827920196666666,202.4236
