timestamp_utc,elapsed_s,camera,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,distance_m,angle_deg
2026-04-03T14:51:00.782Z,4.873,pi:0,sports ball,0.2915,1578.32,429.29,1636.93,484.46,7.462,20.565
2026-04-03T14:51:00.832Z,4.923,pi:0,sports ball,0.3310,1578.39,429.23,1636.43,484.47,7.453,20.559
2026-04-03T14:51:00.902Z,4.993,pi:0,sports ball,0.5253,1578.01,429.48,1636.44,484.43,7.492,20.553
2026-04-03T14:51:00.975Z,5.066,pi:0,sports ball,0.4246,1578.03,429.23,1637.38,484.85,7.403,20.567
2026-04-03T14:51:01.032Z,5.123,pi:0,sports ball,0.3598,1578.03,428.96,1636.92,485.20,7.320,20.560
2026-04-03T14:51:01.116Z,5.207,pi:0,sports ball,0.3634,1578.09,428.11,1635.90,485.03,7.233,20.547
2026-04-03T14:51:01.171Z,5.262,pi:0,sports ball,0.3958,1578.09,429.20,1636.92,485.21,7.350,20.561
2026-04-03T14:51:01.237Z,5.328,pi:0,sports ball,0.3814,1578.07,429.19,1636.92,484.82,7.400,20.561
2026-04-03T14:51:01.315Z,5.406,pi:0,sports ball,0.3670,1578.52,429.20,1636.42,484.82,7.401,20.560
2026-04-03T14:51:01.383Z,5.474,pi:0,sports ball,0.3706,1578.03,429.17,1636.42,484.81,7.400,20.553
2026-04-03T14:51:01.430Z,5.521,pi:0,sports ball,0.4822,1578.50,429.47,1636.42,484.83,7.437,20.560
2026-04-03T14:51:01.509Z,5.600,pi:0,sports ball,0.3490,1578.25,429.03,1635.92,484.49,7.424,20.549
2026-04-03T14:51:01.581Z,5.672,pi:0,sports ball,0.4174,1578.28,428.78,1636.90,484.46,7.394,20.564
2026-04-03T14:51:01.630Z,5.721,pi:0,sports ball,0.2699,1578.15,429.05,1636.45,484.13,7.474,20.555
2026-04-03T14:51:01.745Z,5.836,pi:0,sports ball,0.3850,1578.58,428.80,1635.93,484.42,7.402,20.554
2026-04-03T14:51:01.778Z,5.869,pi:0,sports ball,0.4030,1578.17,429.25,1635.92,484.84,7.407,20.548
2026-04-03T14:51:01.833Z,5.923,pi:0,sports ball,0.3130,1578.44,428.67,1636.42,484.88,7.325,20.559
2026-04-03T14:51:01.914Z,6.005,pi:0,sports ball,0.5253,1578.51,428.94,1636.91,484.82,7.368,20.567
2026-04-03T14:51:01.983Z,6.074,pi:0,sports ball,0.3418,1578.07,428.92,1636.91,484.48,7.411,20.561
2026-04-03T14:51:02.031Z,6.122,pi:0,sports ball,0.5038,1578.52,429.20,1636.91,485.25,7.346,20.567
2026-04-03T14:51:02.109Z,6.200,pi:0,sports ball,0.4318,1578.53,429.21,1636.42,484.47,7.450,20.560
2026-04-03T14:51:02.179Z,6.270,pi:0,sports ball,0.3994,1578.11,429.18,1637.37,484.84,7.397,20.568
2026-04-03T14:51:02.232Z,6.323,pi:0,sports ball,0.3634,1578.08,428.97,1636.92,485.22,7.319,20.561
2026-04-03T14:51:02.312Z,6.403,pi:0,sports ball,0.4246,1578.09,427.41,1635.92,485.85,7.045,20.547
2026-04-03T14:51:02.376Z,6.467,pi:0,sports ball,0.2591,1578.09,427.42,1636.42,485.86,7.045,20.554
2026-04-03T14:51:02.435Z,6.526,pi:0,sports ball,0.4750,1578.10,429.45,1636.90,485.21,7.384,20.561
2026-04-03T14:51:02.514Z,6.605,pi:0,sports ball,0.4354,1579.00,428.94,1636.41,485.25,7.312,20.567
2026-04-03T14:51:02.574Z,6.665,pi:0,sports ball,0.4498,1578.51,429.22,1636.42,484.86,7.400,20.560
2026-04-03T14:51:02.633Z,6.724,pi:0,sports ball,0.5253,1578.48,429.22,1636.91,485.26,7.346,20.567
2026-04-03T14:51:02.719Z,6.809,pi:0,sports ball,0.4534,1578.39,428.98,1635.93,485.23,7.319,20.551
2026-04-03T14:51:02.787Z,6.878,pi:0,sports ball,0.3526,1578.36,429.48,1636.43,484.48,7.485,20.558
2026-04-03T14:51:02.837Z,6.928,pi:0,sports ball,0.3562,1578.40,429.21,1636.91,484.84,7.401,20.566
2026-04-03T14:51:02.900Z,6.991,pi:0,sports ball,0.3994,1577.99,429.20,1636.91,485.25,7.345,20.560
2026-04-03T14:51:02.977Z,7.068,pi:0,sports ball,0.4282,1578.06,429.42,1636.42,484.86,7.426,20.554
