timestamp_utc,elapsed_s,camera,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,distance_m,angle_deg
2026-04-03T14:38:10.750Z,1.687,camera:0,duck,0.4306,379.02,666.99,638.94,966.44,2.444,-1.462
2026-04-03T14:38:10.842Z,1.780,camera:0,duck,0.3102,376.32,675.03,640.34,969.18,2.488,-1.500
2026-04-03T14:38:10.931Z,1.868,camera:0,duck,0.6277,376.91,677.97,640.50,973.00,2.481,-1.478
2026-04-03T14:38:11.019Z,1.957,camera:0,duck,0.4087,374.50,684.14,641.50,977.21,2.497,-1.519
2026-04-03T14:38:11.111Z,2.049,camera:0,duck,0.2591,382.57,693.49,639.16,981.32,2.543,-1.353
2026-04-03T14:38:11.282Z,2.220,camera:0,duck,0.4051,383.11,699.63,638.62,995.58,2.473,-1.353
2026-04-03T14:38:11.371Z,2.309,camera:0,duck,0.4562,383.02,702.20,641.46,1000.21,2.456,-1.273
2026-04-03T14:38:11.825Z,2.763,camera:0,duck,0.3175,403.07,723.58,644.65,1002.85,2.621,-0.599
2026-04-03T14:38:11.898Z,2.836,camera:0,duck,0.3029,401.61,722.99,643.88,1004.24,2.602,-0.663
2026-04-03T14:38:12.046Z,2.984,camera:0,duck,0.5109,410.12,727.80,651.28,1004.56,2.645,-0.202
2026-04-03T14:38:12.127Z,3.065,camera:0,duck,0.6642,408.72,728.72,661.31,1005.63,2.643,0.049
2026-04-03T14:38:12.202Z,3.140,camera:0,duck,0.5401,411.19,724.03,660.59,1006.13,2.595,0.100
2026-04-03T14:38:12.284Z,3.222,camera:0,duck,0.3175,336.51,730.44,667.74,1004.49,2.671,-1.860
2026-04-03T14:38:12.358Z,3.295,camera:0,duck,0.3467,423.79,732.83,667.17,1004.26,2.697,0.656
2026-04-03T14:38:12.427Z,3.365,camera:0,duck,0.3467,388.62,734.94,667.60,1005.49,2.705,-0.352
2026-04-03T14:38:12.505Z,3.443,camera:0,duck,0.2555,431.44,731.21,669.66,1004.57,2.677,0.951
2026-04-03T14:38:12.655Z,3.592,camera:0,duck,0.3358,450.80,740.65,682.38,1005.58,2.763,1.881
2026-04-03T14:38:13.155Z,4.092,camera:0,duck,0.7409,476.04,757.98,715.51,1016.22,2.834,3.572
2026-04-03T14:38:13.742Z,4.680,camera:0,duck,0.5511,500.56,818.97,724.19,1063.25,2.996,4.531
2026-04-03T14:38:14.392Z,5.330,camera:0,duck,0.3421,116.89,-3.05,1128.69,189.43,3.803,5.131
2026-04-03T14:38:14.544Z,5.482,camera:0,duck,0.2701,444.41,902.32,716.43,1153.53,2.914,2.683
2026-04-03T14:38:14.634Z,5.572,camera:0,duck,0.4854,415.27,914.93,715.87,1158.95,2.999,1.822
2026-04-03T14:38:14.801Z,5.739,camera:0,duck,0.3193,108.20,-2.72,1095.70,285.17,2.542,3.928
2026-04-03T14:38:14.875Z,5.812,camera:0,duck,0.3535,38.31,-2.77,1129.60,290.20,2.498,2.888
2026-04-03T14:38:14.953Z,5.890,camera:0,duck,0.5436,35.61,-2.72,1139.78,302.59,2.397,3.104
2026-04-03T14:38:15.024Z,5.962,camera:0,duck,0.4790,32.94,-2.71,1138.93,313.34,2.316,3.002
