id,category,latitude,longitude,heading
0,gps,51.011466,3.708731,0.0
1,gps,51.011401,3.709055,0.0
2,gps,51.011335,3.709215,0.0
0,destination,51.011504,3.708728,0.0
0,camera,51.011453,3.708779,0.0
1,camera,51.011412,3.708822,0.0
2,camera,51.01134,3.708969,0.0
3,camera,51.011485,3.708916,0.0
4,camera,51.011394,3.709079,0.0
5,gps,51.011335,3.709215,0.0
6,gps,51.01133607345123,3.709214843227042,354.75
7,gps,51.01133713337388,3.709214530996467,349.5
8,gps,51.011338170946495,3.7092140663308704,344.264
9,gps,51.01133917991764,3.709213463186208,339.3885
10,gps,51.01134015613663,3.709212736525677,334.90500000000003
11,gps,51.01134109742386,3.7092119015134055,330.83275000000003
12,gps,51.01134200329782,3.709210972807413,327.177
13,gps,51.0113428679138,3.709209949564404,323.32875
14,gps,51.011343692463576,3.7092088459358457,319.89875
15,gps,51.01134447918941,3.709207674630934,316.87125000000003
16,gps,51.01134523103176,3.709206446812425,314.22350000000006
17,gps,51.011345950611855,3.709205171092661,311.8767500000001
18,gps,51.01134664135917,3.709203855727404,309.8502500000001
19,gps,51.01134730664067,3.709202507609565,308.1090000000001
20,gps,51.01134794965351,3.7092011324658585,306.61975000000007
21,gps,51.01134857254563,3.709199734122178,305.29850000000005
22,gps,51.01134917498582,3.709198313322089,303.97725
23,gps,51.011349762904594,3.7091968772370696,303.05150000000003
24,gps,51.01135033840528,3.7091954285005615,302.26750000000004
25,gps,51.0113509030919,3.709193969053479,301.59025
26,gps,51.01135145688557,3.709192499099729,300.913
27,gps,51.01135200144316,3.7091910204547096,300.34250000000003
28,gps,51.01135253845306,3.7091895348526767,299.87875
29,gps,51.01135307169021,3.70918804582154,299.64775000000003
30,gps,51.011353601145935,3.709186553385504,299.41675000000004
31,gps,51.01135412747263,3.7091850581561263,299.22600000000006
32,gps,51.01135412747263,3.7091850581561263,299.22600000000006
33,gps,51.0113546513552,3.709183560759952,299.07725000000005
34,gps,51.01135517279012,3.709182061207072,298.92850000000004
35,gps,51.01135569223554,3.709180559910884,298.80775000000006
36,gps,51.01135620971804,3.709179056903177,298.68875
37,gps,51.01135672561124,3.709177552515892,298.59250000000003
38,gps,51.011357239913686,3.7091760467532735,298.49625000000003
39,gps,51.01135775297145,3.7091745399183527,298.42100000000005
40,gps,51.01135826544999,3.7091730325855616,298.386
41,gps,51.0113587773491,3.709171524755464,298.351
42,gps,51.01135928904538,3.70917001675143,298.33875
43,gps,51.01135928904538,3.70917001675143,298.33875
44,gps,51.01135980323208,3.709168510888872,298.48925
45,gps,51.01136031961668,3.709167006927427,298.62225
46,gps,51.01136083799431,3.70916550469901,298.743
47,gps,51.01136135720891,3.7091640032009496,298.79375
48,gps,51.01136187726008,3.709162502434423,298.8445
49,gps,51.01136239811857,3.709161002375322,298.8935
50,gps,51.01136291897706,3.709159502316204,298.8935
51,gps,51.01136343983556,3.7091580022570696,298.8935
52,gps,51.01136396069405,3.709156502197918,298.8935
53,gps,51.01136448155254,3.7091550021387496,298.8935
54,gps,51.01136500411094,3.709153503573838,298.99675
55,gps,51.0113655282237,3.709152006380815,299.09124999999995
56,gps,51.01136605377441,3.709150510461688,299.1787499999999
57,gps,51.01136659338015,3.709149027237263,300.0379999999999
58,gps,51.01136714516693,3.70914755537769,300.7887499999999
59,gps,51.011367707552026,3.7091460936867873,301.4467499999999
60,gps,51.01136827884275,3.7091446407464974,302.0032499999999
61,gps,51.0113688579581,3.7091431956527687,302.49499999999995
62,gps,51.011369444026656,3.7091417576579095,302.93425
63,gps,51.011370036298885,3.7091403260984266,303.328
64,gps,51.01137063417162,3.7091389004321296,303.685
65,gps,51.01137123713047,3.7091374801872745,304.0105
66,gps,51.01137184618869,3.709136066532296,304.4025
67,gps,51.01137246077689,3.709134658936392,304.7595
68,gps,51.01137308044023,3.70913325697273,305.0885
69,gps,51.011373678915554,3.709131831945193,303.7235
70,gps,51.0113742587805,3.70913038761085,302.54225
71,gps,51.01137482234487,3.709128927067581,301.52025000000003
72,gps,51.01137537183892,3.709127453042521,300.64700000000005
73,gps,51.01137590902011,3.7091259675961816,299.88925000000006
74,gps,51.011376435433,3.709124472442744,299.23125000000005
75,gps,51.01137695277107,3.709122969308775,298.68000000000006
76,gps,51.01137746211849,3.709121459296677,298.19700000000006
77,gps,51.01137796440067,3.709119943317648,297.77175000000005
