timestamp_utc,elapsed_s,camera,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,distance_m,angle_deg
2026-04-03T15:06:10.783Z,72.450,pi:0,sports ball,0.7644,845.49,386.84,1003.28,563.82,2.326,-0.820
2026-04-03T15:06:10.823Z,72.490,pi:0,sports ball,0.8134,845.63,385.89,1004.21,563.17,2.322,-0.802
2026-04-03T15:06:10.872Z,72.539,pi:0,sports ball,0.7456,847.00,387.69,1007.04,563.26,2.345,-0.734
2026-04-03T15:06:10.920Z,72.587,pi:0,sports ball,0.7945,845.60,387.70,1009.96,564.20,2.333,-0.709
2026-04-03T15:06:10.959Z,72.626,pi:0,sports ball,0.7192,846.90,387.68,1013.75,563.84,2.337,-0.626
2026-04-03T15:06:11.002Z,72.669,pi:0,sports ball,0.7268,845.39,387.56,1013.76,564.65,2.325,-0.650
2026-04-03T15:06:11.072Z,72.739,pi:0,sports ball,0.7004,845.06,386.81,1015.68,564.38,2.319,-0.624
2026-04-03T15:06:11.113Z,72.780,pi:0,sports ball,0.6778,844.53,388.49,1014.01,563.98,2.346,-0.660
2026-04-03T15:06:11.152Z,72.819,pi:0,sports ball,0.7305,845.82,387.68,1010.93,563.65,2.340,-0.689
2026-04-03T15:06:11.187Z,72.854,pi:0,sports ball,0.7042,843.93,389.38,1011.10,564.08,2.357,-0.717
2026-04-03T15:06:11.219Z,72.886,pi:0,sports ball,0.6213,843.67,389.43,1013.25,563.89,2.360,-0.687
2026-04-03T15:06:11.291Z,72.958,pi:0,sports ball,0.6176,845.54,387.53,1010.07,564.90,2.321,-0.708
2026-04-03T15:06:11.325Z,72.992,pi:0,sports ball,0.6289,844.85,387.55,1010.09,564.56,2.326,-0.719
2026-04-03T15:06:11.351Z,73.018,pi:0,sports ball,0.6100,846.88,387.59,1010.25,563.83,2.336,-0.683
2026-04-03T15:06:11.393Z,73.060,pi:0,sports ball,0.6100,844.85,389.39,1013.28,564.20,2.355,-0.667
2026-04-03T15:06:11.446Z,73.113,pi:0,sports ball,0.7192,846.01,388.45,1008.19,563.76,2.348,-0.731
2026-04-03T15:06:11.489Z,73.155,pi:0,sports ball,0.6025,844.07,388.49,1013.11,563.62,2.351,-0.682
2026-04-03T15:06:11.540Z,73.207,pi:0,sports ball,0.6740,843.52,389.39,1009.18,563.99,2.358,-0.755
2026-04-03T15:06:11.580Z,73.247,pi:0,sports ball,0.7117,845.66,388.46,1006.15,563.75,2.349,-0.770
2026-04-03T15:06:11.615Z,73.282,pi:0,sports ball,0.7682,845.54,389.39,1005.24,563.51,2.365,-0.787
2026-04-03T15:06:11.655Z,73.322,pi:0,sports ball,0.4594,844.42,390.35,1003.39,563.89,2.373,-0.835
2026-04-03T15:06:12.099Z,73.766,pi:0,sports ball,0.3163,843.69,388.28,994.41,562.64,2.361,-0.994
2026-04-03T15:06:12.185Z,73.852,pi:0,sports ball,0.6515,843.86,386.83,995.72,559.88,2.379,-0.970
2026-04-03T15:06:12.242Z,73.909,pi:0,sports ball,0.9038,845.22,386.87,1002.33,563.27,2.334,-0.840
2026-04-03T15:06:12.314Z,73.981,pi:0,sports ball,0.9075,845.75,386.81,1007.02,564.56,2.316,-0.754
2026-04-03T15:06:12.353Z,74.019,pi:0,sports ball,0.8510,845.32,387.64,1001.51,564.08,2.334,-0.851
2026-04-03T15:06:12.398Z,74.065,pi:0,sports ball,0.8247,845.92,386.85,997.27,563.63,2.329,-0.911
2026-04-03T15:06:12.457Z,74.124,pi:0,sports ball,0.6251,845.36,387.43,988.12,565.01,2.318,-1.069
2026-04-03T15:06:12.511Z,74.178,pi:0,sports ball,0.3615,843.56,387.40,977.95,565.08,2.317,-1.265
2026-04-03T15:06:12.538Z,74.206,pi:0,sports ball,0.6665,844.31,387.65,972.32,563.67,2.339,-1.344
2026-04-03T15:06:13.134Z,74.800,pi:0,sports ball,0.4933,845.15,388.45,975.04,564.54,2.338,-1.286
2026-04-03T15:06:13.179Z,74.846,pi:0,sports ball,0.6138,844.57,387.45,983.07,564.92,2.320,-1.165
2026-04-03T15:06:13.207Z,74.874,pi:0,sports ball,0.7682,845.54,386.03,995.77,563.37,2.322,-0.941
2026-04-03T15:06:13.250Z,74.917,pi:0,sports ball,0.8586,845.51,386.81,1001.39,563.20,2.334,-0.850
